code,lat,lng,population,x,y
02126,42.2739,-71.0939,22734,2309741.695422928,4919048.795609217
02127,42.3347,-71.0375,37939,2312572.283477746,4927095.06726788
02128,42.3642,-71.0257,43066,2312654.141788869,4930649.865586124
02129,42.3778,-71.0627,19120,2309182.856472905,4931334.924036219
02130,42.3126,-71.1115,38284,2307116.724475337,4922970.444573815
02131,42.2836,-71.1295,30544,2306500.801410755,4919333.462924526
02132,42.2787,-71.1589,27111,2304213.5038430616,4918129.760223172
02133,42.3584,-71.0598,56,2310009.969598391,4929236.876763026
02134,42.3535,-71.1329,21707,2304112.440419369,4927052.318686831
02135,42.3478,-71.1566,47232,2302323.990036665,4925886.9144892385
02136,42.254,-71.1261,35102,2307674.0796364234,4916108.278132201
02138,42.377,-71.1256,37982,2304007.0882561225,4929835.950868626
02139,42.3647,-71.1042,39525,2306147.8247590093,4928943.6174827255
02140,42.3932,-71.1338,21447,2302840.4004551684,4931458.747610635
02141,42.3687,-71.0836,15130,2307730.2705816617,4929851.337132722
02142,42.362,-71.083,4499,2307982.4885168457,4929117.721034634
02143,42.3829,-71.1028,26022,2305713.6959406594,4931004.29088748
02144,42.4003,-71.1221,25497,2303592.9628167315,4932512.140986036
02145,42.3907,-71.0929,27520,2306296.2086753487,4932095.815921488
02148,42.4291,-71.0605,66274,2307810.669612649,4937103.905812217
02149,42.4112,-71.0514,49075,2309104.9064453123,4935312.618506822
02150,42.3963,-71.0325,40721,2311118.4194819345,4934076.099737296
02151,42.4138,-71.0052,62252,2312842.912264949,4936641.443422265
02152,42.3763,-70.98,19316,2316065.291914938,4933028.049804032
02155,42.4173,-71.1087,61483,2304186.487298701,4934707.5015841145
02163,42.3253,-71.1122,1391,2306675.6021814803,4924371.015910345
02169,42.2491,-70.9978,62140,2318453.4292463195,4918441.773911222
02170,42.2671,-71.0186,19950,2316184.674668273,4919981.202636343
02171,42.2825,-71.0241,19539,2315262.679145762,4921575.031757401
02176,42.4581,-71.0632,29817,2306708.6926491186,4940276.2676530555
02180,42.4828,-71.0978,23244,2303104.8985580867,4942253.623158086
02184,42.2093,-70.9963,39143,2319783.8164474806,4914036.185817319
02186,42.2537,-71.0771,28637,2311743.206720188,4917172.543864138
02188,42.2113,-70.9582,15133,2322882.685797643,4915118.167040619
02189,42.214,-70.9203,15123,2325943.4663055316,4916275.361223543
02190,42.1751,-70.9495,18910,2324703.0599714527,4911276.312455923
02191,42.2459,-70.9467,8271,2322785.2116226163,4919237.1222648015
02199,42.3479,-71.0825,1574,2308450.155887509,4927556.699082259
02203,42.3615,-71.0604,0,2309866.5072814845,4929569.071367454
02205,42.3503,-71.0539,10,2310743.156323395,4928466.15765945
02210,42.3489,-71.0465,5808,2311397.6283158427,4928476.268103095
02215,42.3471,-71.1027,26926,2306803.468669961,4927014.7246766575
02301,42.0794,-71.04,69418,2320082.055176768,4898560.85882596
02302,42.0847,-71.0002,36202,2323230.2930788435,4900047.41480183
02322,42.1258,-71.0437,4777,2318374.737318526,4903654.853858779
02324,41.9773,-70.9723,25676,2328797.0270890733,4888690.464354887
02325,41.9873,-70.9728,3025,2328453.2464944916,4889795.299901036
02330,41.8883,-70.7678,11645,2348543.3142270073,4883389.412749727
02332,42.0399,-70.7163,16090,2348201.2003590474,4901485.692896184
02333,42.0315,-70.945,14382,2329430.144967377,4895355.334955604
